object,goal,mean_highlights,mean_ci_lower,mean_ci_upper
african-kanzu,entertaining,8.324324324324325,7.513513513513513,9.054054054054054
african-kanzu,informative,8.432432432432432,7.5675675675675675,9.18918918918919
almas-caviar,entertaining,8.513513513513514,7.756756756756757,9.18918918918919
almas-caviar,informative,8.567567567567568,7.8108108108108105,9.297297297297296
cuenca,entertaining,7.8108108108108105,6.972972972972973,8.621621621621621
cuenca,informative,8.216216216216216,7.378378378378378,9.0
dugong,entertaining,8.054054054054054,7.243243243243243,8.81081081081081
dugong,informative,8.27027027027027,7.513513513513513,8.972972972972974
indonesian-kebaya,entertaining,8.594594594594595,7.8108108108108105,9.297297297297296
indonesian-kebaya,informative,8.513513513513514,7.675675675675675,9.243243243243244
kopi-luwak,entertaining,7.945945945945946,7.108108108108108,8.72972972972973
kopi-luwak,informative,8.162162162162161,7.4047297297297305,8.864864864864865
lichinga,entertaining,7.891891891891892,6.972972972972973,8.72972972972973
lichinga,informative,8.243243243243244,7.4047297297297305,9.027027027027026
mongolian-deel,entertaining,8.756756756756756,7.945945945945946,9.45945945945946
mongolian-deel,informative,8.567567567567568,7.756756756756757,9.27027027027027
murnong,entertaining,8.297297297297296,7.45945945945946,9.027027027027026
murnong,informative,8.243243243243244,7.378378378378378,9.054054054054054
saola,entertaining,8.0,7.081081081081081,8.837837837837839
saola,informative,8.45945945945946,7.675675675675675,9.18918918918919
vaquita,entertaining,7.783783783783784,6.945270270270271,8.567567567567568
vaquita,informative,8.243243243243244,7.4324324324324325,9.0
vilnius,entertaining,8.27027027027027,7.4324324324324325,9.027027027027026
vilnius,informative,8.702702702702704,7.972972972972973,9.35135135135135
